id,sentence
Beauty_and_Personal_Care-first_200_reviews_117,"I think it would be a better palate if it included a darker shade, however."
Beauty_and_Personal_Care-first_200_reviews_118,Good mix of matte and shimmer shades.
Beauty_and_Personal_Care-first_200_reviews_119,It's much less expensive ($5?)
Beauty_and_Personal_Care-first_200_reviews_120,on amazon than at CVS.
Beauty_and_Personal_Care-first_200_reviews_121,Great for thick heavy hair.
Beauty_and_Personal_Care-first_200_reviews_122,"One clip will hold my slippery, heavy hair up all day!"
Beauty_and_Personal_Care-first_200_reviews_123,great sunscreen stick I bought this to protect my tattoo from the sun and I think it's going to do a great job.
Beauty_and_Personal_Care-first_200_reviews_124,"The stick is easy to apply, feels nice against my skin, and even smells nice."
Beauty_and_Personal_Care-first_200_reviews_125,Zinc oxide is the way to go when you want strong uv protection.
Beauty_and_Personal_Care-first_200_reviews_126,Great Brand of Zinc Oxide Sunscreens This sunscreen is fantastic.
Beauty_and_Personal_Care-first_200_reviews_127,A lot of zinc oxide sunscreens are greasy or chalky but this has a great consistency - it's thick and rubs in well.
Beauty_and_Personal_Care-first_200_reviews_128,I prefer not to use chemical sunscreens because they don't block the full UV spectrum.
Beauty_and_Personal_Care-first_200_reviews_129,Smells wonderful AND anti bacterial too!
Beauty_and_Personal_Care-first_200_reviews_130,"very cute delivery, not good."
Beauty_and_Personal_Care-first_200_reviews_131,But the product is very nice.
Beauty_and_Personal_Care-first_200_reviews_132,great feeling This facial scrub is wonderful.
Beauty_and_Personal_Care-first_200_reviews_133,Makes my skin feel great.
Beauty_and_Personal_Care-first_200_reviews_134,Wondeful color Love the product!!!
Beauty_and_Personal_Care-first_200_reviews_135,Not what was advertised Not what was advertised
Beauty_and_Personal_Care-first_200_reviews_136,Synthetic feeling Tangled really bad
Beauty_and_Personal_Care-first_200_reviews_137,Love it My favorite oil
Beauty_and_Personal_Care-first_200_reviews_138,"Great Deodorant, but leaves an oily stain on your clothes over time."
Beauty_and_Personal_Care-first_200_reviews_139,"Great deodorant, but leaves an oily stain on your clothing overtime."
Beauty_and_Personal_Care-first_200_reviews_140,Does not help my neck.
Beauty_and_Personal_Care-first_200_reviews_141,"Did not work for me For such an expensive product, I expected to see some results."
Beauty_and_Personal_Care-first_200_reviews_142,There was no difference in my skin.
Beauty_and_Personal_Care-first_200_reviews_143,Great product Easy to apply.
Beauty_and_Personal_Care-first_200_reviews_144,Worked within a few hours (2).
Beauty_and_Personal_Care-first_200_reviews_145,Removes makeup and dirt like magic.
Beauty_and_Personal_Care-first_200_reviews_146,Great brush Works well on all types of hair.
Beauty_and_Personal_Care-first_200_reviews_147,Great undershirt Nice  breathable material
Beauty_and_Personal_Care-first_200_reviews_148,Great brows Last all day
Beauty_and_Personal_Care-first_200_reviews_149,Covers gray with a natural look .
Beauty_and_Personal_Care-first_200_reviews_150,Covers gray with a natural look.
Beauty_and_Personal_Care-first_200_reviews_151,Worth it I was really surprised by how well this covers.
Beauty_and_Personal_Care-first_200_reviews_152,"The applicator is really handy, it also comes with a travel case."
Beauty_and_Personal_Care-first_200_reviews_153,Overall I was satisfied especially at this price point
Beauty_and_Personal_Care-first_200_reviews_154,Very cheaply made Not what I was looking for at all.
Beauty_and_Personal_Care-first_200_reviews_155,Not study by any means
Beauty_and_Personal_Care-first_200_reviews_156,Not kinky hair Very silky and not human kinky hair.
Beauty_and_Personal_Care-first_200_reviews_157,Will not work for my class.
Beauty_and_Personal_Care-first_200_reviews_158,But my fault for not reading more about it before being excited and just buying.
Beauty_and_Personal_Care-first_200_reviews_159,"Good quality On time, good quality,  just what I was looking for."
Beauty_and_Personal_Care-first_200_reviews_160,I really love this bag except putting my 15ml bottles does not ... .
Beauty_and_Personal_Care-first_200_reviews_161,I really love this bag except putting my 15ml bottles does not allow me to be able to use the zipper pouch at the top :( but it is too cute and I am happy either way thank you
Beauty_and_Personal_Care-first_200_reviews_162,Great and lots of choices on lashes easy The magnetic eyeliner and eyelashes kit was actually a great choice for me first time using magnetic.
Beauty_and_Personal_Care-first_200_reviews_163,These lashes were very easy to apply.
Beauty_and_Personal_Care-first_200_reviews_164,I gave adhesion 4 stars but that might have been the way I applied eyeliner??
Beauty_and_Personal_Care-first_200_reviews_165,They did stay put except for a little on end so probably me.
Beauty_and_Personal_Care-first_200_reviews_166,I love the fact you have choices and easy to remove makeup remover or baby oil.
Beauty_and_Personal_Care-first_200_reviews_167,I highly recommend especially if never tried great price.
Beauty_and_Personal_Care-first_200_reviews_168,DOES THE JOB SMELLS GREAT Dove antiperspirant mens spray is my husbands new favorite.
Beauty_and_Personal_Care-first_200_reviews_169,"This does the job all around smell,sweat,and long lasting."
Beauty_and_Personal_Care-first_200_reviews_170,The price and deal cant beat last awhile.
Beauty_and_Personal_Care-first_200_reviews_171,Long hair pulls it all out This brush detangles by pulling out your hair I will gladly send back for a refund no good for long hair
Beauty_and_Personal_Care-first_200_reviews_172,Aveeno they know what they are doing no more dry skin Aveeno really knows how to  Moisturize!
Beauty_and_Personal_Care-first_200_reviews_173,Their was not one thing in the Sam box I did not love.
Beauty_and_Personal_Care-first_200_reviews_174,I believe the prices are right on point and so worth it!
Beauty_and_Personal_Care-first_200_reviews_175,I get dry skin in winter and this makes your skin so so smooth the body yogurt love.
Beauty_and_Personal_Care-first_200_reviews_176,The sheer hydration lotion on hands not greasy so so soft.
Beauty_and_Personal_Care-first_200_reviews_177,I am going to be buying all of these.
Beauty_and_Personal_Care-first_200_reviews_178,Totally recommend to anyone with dry skin.
Beauty_and_Personal_Care-first_200_reviews_179,A MUST BUY CONDITIONER FOR DAMAGED HAIR I have used the shampoo from maple Holistics and WOW use the conditioner them both together OH YES !
Beauty_and_Personal_Care-first_200_reviews_180,"I have damaged hair and this left my looking,smelling,and feeling AMAZING."
Beauty_and_Personal_Care-first_200_reviews_181,I most definitely will continue to invest in this shampoo and conditioner and they make other products.
Beauty_and_Personal_Care-first_200_reviews_182,Argan oil knows what they are doing !
Beauty_and_Personal_Care-first_200_reviews_183,Good deodorant for gel I love secret deodorant but not fond of gel.
Beauty_and_Personal_Care-first_200_reviews_184,I won't be purchasing the gel again.
Beauty_and_Personal_Care-first_200_reviews_185,I just don't like the feeling.
Beauty_and_Personal_Care-first_200_reviews_186,It does the job to those who do like the gel.
Beauty_and_Personal_Care-first_200_reviews_187,These socks are utterly amazing!!!
Beauty_and_Personal_Care-first_200_reviews_188,My feet were very dry and had lots of cracks that even my pedicure lady couldn’t eliminate with all her tools.
Beauty_and_Personal_Care-first_200_reviews_189,I use these as soon as I get out of the shower.
Beauty_and_Personal_Care-first_200_reviews_190,I lather my heels in a good healing lotion and wear them for the full 60 minutes.
Beauty_and_Personal_Care-first_200_reviews_191,It’s been about 5 weeks and my cracks are almost fully healed and even my pedicurist was shocked!
Beauty_and_Personal_Care-first_200_reviews_192,DO NOT HESITATE TO BUY!
Beauty_and_Personal_Care-first_200_reviews_193,This is very nice and sturdy.
Beauty_and_Personal_Care-first_200_reviews_194,The only reason I gave it 4 stars instead of 5 is the design is a bit flawed.
Beauty_and_Personal_Care-first_200_reviews_195,The top tier should be higher to accommodate perfumes on the bottom.
Beauty_and_Personal_Care-first_200_reviews_196,I have all the space under the top shelf that I can’t use because my bottles are too tall.
Beauty_and_Personal_Care-first_200_reviews_197,"This is not the real face cream, after using ... ."
Beauty_and_Personal_Care-first_200_reviews_198,"This is not the real face cream, after using it for 6 weeks I saw 0 results so I went to the store and bought a new one and what a difference in texture, smell, and results..... buyer beware!!!!!!!!!!!"
Beauty_and_Personal_Care-first_200_reviews_199,"One Star This is not the real face wash, buyer beware...!!!!!!!!"
Beauty_and_Personal_Care-first_200_reviews_200,Didn't get all my order.
Beauty_and_Personal_Care-first_200_reviews_201,I would have like to got all the order.
Beauty_and_Personal_Care-first_200_reviews_202,Any way that can happen.
Beauty_and_Personal_Care-first_200_reviews_203,I love the set that was ordered.
Beauty_and_Personal_Care-first_200_reviews_204,That the color was right.
Beauty_and_Personal_Care-first_200_reviews_205,It is very closes to my coloer.
Beauty_and_Personal_Care-first_200_reviews_206,Nice bun It fast way to put your hair up.
Beauty_and_Personal_Care-first_200_reviews_207,Nice to give as a gift Very easy to use and they come in different colors.
Beauty_and_Personal_Care-first_200_reviews_208,Even after taking precautions .
Beauty_and_Personal_Care-first_200_reviews_209,The results are absolutely amazing but I feel sick after using this even though I took precautions.
Beauty_and_Personal_Care-first_200_reviews_210,"I wore gloves, had 3 windows open and 2 fans blowing fumes away."
Beauty_and_Personal_Care-first_200_reviews_211,I also wore a face mask but then switched to swim goggles after the fumes started burning my eyes even before I started blow drying.
Beauty_and_Personal_Care-first_200_reviews_212,Pretty results but this stuff is incredibly noxious.
Beauty_and_Personal_Care-first_200_reviews_213,I probably wont use it again for a long time.
Beauty_and_Personal_Care-first_200_reviews_214,So many scrunchies so little time!
Beauty_and_Personal_Care-first_200_reviews_215,So many different colors and patters.
Beauty_and_Personal_Care-first_200_reviews_216,These have a really nice stretch to them.
Beauty_and_Personal_Care-first_200_reviews_217,Perfect for pulling Natural Black 4C hair into a ponytail.
Beauty_and_Personal_Care-first_200_reviews_218,I can't believe how good the quality is compared to the price.
Beauty_and_Personal_Care-first_200_reviews_219,I think I'll be ordering some more soon!
Beauty_and_Personal_Care-first_200_reviews_220,These headbands are beautiful and best of ... .
Beauty_and_Personal_Care-first_200_reviews_221,These headbands are beautiful and best of all they are firm and won't slide off when I move and bend.
Beauty_and_Personal_Care-first_200_reviews_222,"They are not tight enough to cause pain, they are just right."
Beauty_and_Personal_Care-first_200_reviews_223,I'm very happy with my purchase.
Beauty_and_Personal_Care-first_200_reviews_224,Hair Free for Me This cream is amazing!
Beauty_and_Personal_Care-first_200_reviews_225,In just 8 short minutes this cream completely dissolved all the hair on my face!
Beauty_and_Personal_Care-first_200_reviews_226,"I just slather it on the hairy areas under my cheeks and upper lip, wait and wipe."
Beauty_and_Personal_Care-first_200_reviews_227,So easy and my face is so smooth and hair free.
Beauty_and_Personal_Care-first_200_reviews_228,I LOVE this cream and will always use it.
Beauty_and_Personal_Care-first_200_reviews_229,This is good and I like it This is good and I like it.
Beauty_and_Personal_Care-first_200_reviews_230,I shaved the hair off my face so that was my goal.
Beauty_and_Personal_Care-first_200_reviews_231,It doesn't hurt at all.
Beauty_and_Personal_Care-first_200_reviews_232,I enjoy my headbands I enjoy my headbands.
Beauty_and_Personal_Care-first_200_reviews_233,They fit snugly against my head and are sturdy.
Beauty_and_Personal_Care-first_200_reviews_234,"I don't like flimsy headbands so these were perfect and they're pretty, too!"
Beauty_and_Personal_Care-first_200_reviews_235,"excellent product Great product, arrived quickly and was glad I ordered it, came with a lot of extras that would come in handy later."
Beauty_and_Personal_Care-first_200_reviews_236,Best at home Dip Kit!!!!
Beauty_and_Personal_Care-first_200_reviews_237,I have been doing my nails with the dip for over a year.
Beauty_and_Personal_Care-first_200_reviews_238,This is the best kit out there and the price is right!!!
Beauty_and_Personal_Care-first_200_reviews_239,"Works well This is a nice product, works well without hardening up one's hair so the hair remains soft to the touch."
Beauty_and_Personal_Care-first_200_reviews_240,"It's easy to use, has a pleasant smell."
Beauty_and_Personal_Care-first_200_reviews_241,I only gave 4 stars because I still miss Frieda Sea Salt Spray which they don't make anymore.
Beauty_and_Personal_Care-first_200_reviews_242,"However, this is my new go to so if you have to have an alternative, this would be it."
Beauty_and_Personal_Care-first_200_reviews_243,Will buy again and again This product is great for the skin.
Beauty_and_Personal_Care-first_200_reviews_244,I have dryness on my legs and within a day or two my legs were smooth as can be.
Beauty_and_Personal_Care-first_200_reviews_245,I use it right after a shower.
Beauty_and_Personal_Care-first_200_reviews_246,I also really like that it comes with a pump so it's not messy to use.
Beauty_and_Personal_Care-first_200_reviews_247,"It smells good too, very light scent."
Beauty_and_Personal_Care-first_200_reviews_248,Always great Love this product.
Beauty_and_Personal_Care-first_200_reviews_249,"Purchased it for friends and family, especially my father likes it as he is a diabetic and the products really help his skin."
Beauty_and_Personal_Care-first_200_reviews_250,Great purchase I love that I can rinse it clean and hang in my shower to dry.
Beauty_and_Personal_Care-first_200_reviews_251,I love the honey flavor because it's not over powering and ... .
Beauty_and_Personal_Care-first_200_reviews_252,"Totally worth the money, I love the honey flavor because it's not over powering and too artificial like other balms."
Beauty_and_Personal_Care-first_200_reviews_253,"Five Stars I love using this so much, it's good for anything and totally worth the money spent on it."
Beauty_and_Personal_Care-first_200_reviews_254,Soft on hair I like the softnesses of these hair ties.
Beauty_and_Personal_Care-first_200_reviews_255,I have fine hair and they do not break my hair like others.<br />I would love to see them in brighter colors.
Beauty_and_Personal_Care-first_200_reviews_256,Lots of space for products This was just what I needed for my bath and beauty products.
Beauty_and_Personal_Care-first_200_reviews_257,"The handle is kinda funky, but my bathroom counter looks so much better now."
Beauty_and_Personal_Care-first_200_reviews_258,... night my feet are so smooth I would highly recommend it!
Beauty_and_Personal_Care-first_200_reviews_259,This worked after the first night my feet are so smooth I would highly recommend it!
Beauty_and_Personal_Care-first_200_reviews_260,"Very opalescent, pretty color ."
Beauty_and_Personal_Care-first_200_reviews_261,This is a very sheer polish.
Beauty_and_Personal_Care-first_200_reviews_262,I have a base coat and two coats of polish on.
Beauty_and_Personal_Care-first_200_reviews_263,Five Stars wife likes it!
Beauty_and_Personal_Care-first_200_reviews_264,No issues with it at all.
Beauty_and_Personal_Care-first_200_reviews_265,Bought one for a friend of mine.
Beauty_and_Personal_Care-first_200_reviews_266,"Decent product, can't stand the scent ."
Beauty_and_Personal_Care-first_200_reviews_267,"It's decent, but for Aveeno, disappointed in scent."
Beauty_and_Personal_Care-first_200_reviews_268,"For an Aveeno product, disappointed ."
Beauty_and_Personal_Care-first_200_reviews_269,"The smell, scent of this product is cheap and overpowering."
Beauty_and_Personal_Care-first_200_reviews_270,Totally disappointed given brand name.
Beauty_and_Personal_Care-first_200_reviews_271,Will never buy this again.
Beauty_and_Personal_Care-first_200_reviews_272,"Conditioner does give softness, but leaves an obvious film."
Beauty_and_Personal_Care-first_200_reviews_273,Not great for sensitive scalps.
Beauty_and_Personal_Care-first_200_reviews_274,Itchiness and almost greasy within a day.
Beauty_and_Personal_Care-first_200_reviews_275,Darker & redder than expected .
Beauty_and_Personal_Care-first_200_reviews_276,Box bottles are very similar in the use and design.
Beauty_and_Personal_Care-first_200_reviews_277,Let's say it's just a bit darker and more red undertones than expected.
Beauty_and_Personal_Care-first_200_reviews_278,"Grey's visible in a month, and previous bleach regions (over a year old) could be seen."
Beauty_and_Personal_Care-first_200_reviews_279,Poor consistent saturation of color.
Beauty_and_Personal_Care-first_200_reviews_280,Shipment preparation needs quality control!
Beauty_and_Personal_Care-first_200_reviews_281,Bottle tops were not taped shut and so product leaked from containers into the outside packaging.
Beauty_and_Personal_Care-first_200_reviews_282,Previous shipment of this product was securely taped without leakage.
Beauty_and_Personal_Care-first_200_reviews_283,One Star This greasy makeup is not worth the money.
Beauty_and_Personal_Care-first_200_reviews_284,Lightweight & fair sized .
Beauty_and_Personal_Care-first_200_reviews_285,"Has a hole at the top so it can be hung up with anything, not just the little hook provided."
Beauty_and_Personal_Care-first_200_reviews_286,"Large and full, BUT they are not well made."
Beauty_and_Personal_Care-first_200_reviews_287,"Will recommend!.....UPDATE, these are falling apart by second use."
Beauty_and_Personal_Care-first_200_reviews_288,Broke after one month of light use.
Beauty_and_Personal_Care-first_200_reviews_289,Just outside of the return window 😒 .
Beauty_and_Personal_Care-first_200_reviews_290,This is just days outside of the return window.
Beauty_and_Personal_Care-first_200_reviews_291,I haven’t used it the full month because it took me a while to open it up and try it.
Beauty_and_Personal_Care-first_200_reviews_292,I really like this lipstick.
Beauty_and_Personal_Care-first_200_reviews_293,"It is not overpowering, more of a nice subtle coloring for your lips."
Beauty_and_Personal_Care-first_200_reviews_294,I have a light skin tone - freckle nose reddish hair type of skin color and the berry smoothie works well for me.
Beauty_and_Personal_Care-first_200_reviews_295,"Great price, works well ."
Beauty_and_Personal_Care-first_200_reviews_296,i think these work really well.
Beauty_and_Personal_Care-first_200_reviews_297,so so Definitely not the color I expected w the purple.
Beauty_and_Personal_Care-first_200_reviews_298,I poked a hole in the plastic so it didn't come out too fast.
Beauty_and_Personal_Care-first_200_reviews_299,I have not had any issues w glitter all over my face like some have said.
